DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY	path	fullpath	nsamples_arg	has_required_header	has_pvalue
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Proteinase-activated receptor 1 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	3	proteinase-activated receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010926	GCST90012010	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012010/harmonised/33067605-GCST90012010-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012010/harmonised/33067605-GCST90012010-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	TNF-related apoptosis-inducing ligand levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	8	TNF-related apoptosis-inducing ligand measurement	http://www.ebi.ac.uk/efo/EFO_0008300	GCST90012011	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012011/harmonised/33067605-GCST90012011-EFO_0008300.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012011/harmonised/33067605-GCST90012011-EFO_0008300.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	kallikrein-11 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	4	kallikrein-11 measurement	http://www.ebi.ac.uk/efo/EFO_0010573	GCST90012012	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012012/harmonised/33067605-GCST90012012-EFO_0010573.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012012/harmonised/33067605-GCST90012012-EFO_0010573.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Angiopoietin-1 receptor levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	11	angiopoietin-1 receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010600	GCST90012013	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012013/harmonised/33067605-GCST90012013-EFO_0010600.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012013/harmonised/33067605-GCST90012013-EFO_0010600.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Tissue factor levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	9	tissue factor measurement	http://www.ebi.ac.uk/efo/EFO_0010623	GCST90012014	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012014/harmonised/33067605-GCST90012014-EFO_0010623.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012014/harmonised/33067605-GCST90012014-EFO_0010623.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Tumor necrosis factor receptor 1 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	4	tumor necrosis factor receptor 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010931	GCST90012015	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012015/harmonised/33067605-GCST90012015-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012015/harmonised/33067605-GCST90012015-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Platelet-derived growth factor subunit B levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	8	platelet-derived growth factor BB measurement	http://www.ebi.ac.uk/efo/EFO_0008264	GCST90012016	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012016/harmonised/33067605-GCST90012016-EFO_0008264.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012016/harmonised/33067605-GCST90012016-EFO_0008264.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Interleukin-27 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	15	interleukin-27 measurement	http://www.ebi.ac.uk/efo/EFO_0010916	GCST90012017	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012017/harmonised/33067605-GCST90012017-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012017/harmonised/33067605-GCST90012017-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Macrophage colony-stimulating factor 1 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	2	macrophage colony stimulating factor measurement	http://www.ebi.ac.uk/efo/EFO_0008217	GCST90012018	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012018/harmonised/33067605-GCST90012018-EFO_0008217.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012018/harmonised/33067605-GCST90012018-EFO_0008217.h.tsv.gz	nfe=21758	TRUE	TRUE
2021-04-29	33462485	Kurilshikov A	2021-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33462485	Large-scale association analyses identify host factors influencing human gut microbiome composition.	Gut microbiota abundance (genus Oxalobacter id.2978)	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	4	gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007874	GCST90017038	Genome-wide genotyping array	./GCST90017001-GCST90018000/GCST90017038/harmonised/33462485-GCST90017038-EFO_0007874.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017038/harmonised/33462485-GCST90017038-EFO_0007874.h.tsv.gz	nfe=14306 eas=811 amr=1097 afr=114	TRUE	TRUE
2021-04-29	33462485	Kurilshikov A	2021-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33462485	Large-scale association analyses identify host factors influencing human gut microbiome composition.	Gut microbiota abundance (genus Peptococcus id.2037)	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	6	gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007874	GCST90017042	Genome-wide genotyping array	./GCST90017001-GCST90018000/GCST90017042/harmonised/33462485-GCST90017042-EFO_0007874.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017042/harmonised/33462485-GCST90017042-EFO_0007874.h.tsv.gz	nfe=14306 eas=811 amr=1097 afr=114	TRUE	TRUE
2021-04-29	33462485	Kurilshikov A	2021-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33462485	Large-scale association analyses identify host factors influencing human gut microbiome composition.	Gut microbiota abundance (genus Romboutsia id.11347)	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1	gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007874	GCST90017047	Genome-wide genotyping array	./GCST90017001-GCST90018000/GCST90017047/harmonised/33462485-GCST90017047-EFO_0007874.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017047/harmonised/33462485-GCST90017047-EFO_0007874.h.tsv.gz	nfe=14306 eas=811 amr=1097 afr=114	TRUE	TRUE
2021-04-29	33462485	Kurilshikov A	2021-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33462485	Large-scale association analyses identify host factors influencing human gut microbiome composition.	Gut microbiota abundance (genus Ruminococcaceae UCG009 id.11366)	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	1	gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007874	GCST90017057	Genome-wide genotyping array	./GCST90017001-GCST90018000/GCST90017057/harmonised/33462485-GCST90017057-EFO_0007874.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017057/harmonised/33462485-GCST90017057-EFO_0007874.h.tsv.gz	nfe=14306 eas=811 amr=1097 afr=114	TRUE	TRUE
2021-04-29	33462485	Kurilshikov A	2021-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/33462485	Large-scale association analyses identify host factors influencing human gut microbiome composition.	Gut microbiota abundance (genus Intestinibacter id.11345)	14,306 European ancestry individuals, 811 Korean ancestry individuals, 1,097 Hispanic individuals, 114 African American individuals, 481 Middle Eastern ancestry individuals, 1,531 unknown and other admixed ancestry individuals	NA	Affymetrix, Illumina [NR] (imputed)	2	gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007874	GCST90017018	Genome-wide genotyping array	./GCST90017001-GCST90018000/GCST90017018/harmonised/33462485-GCST90017018-EFO_0007874.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90017001-GCST90018000/GCST90017018/harmonised/33462485-GCST90017018-EFO_0007874.h.tsv.gz	nfe=14306 eas=811 amr=1097 afr=114	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	TNF-related activation-induced cytokine levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	7	TNF-related activation-induced cytokine measurement	http://www.ebi.ac.uk/efo/EFO_0010929	GCST90012044	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012044/harmonised/33067605-GCST90012044-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012044/harmonised/33067605-GCST90012044-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Hepatocyte growth factor levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	3	hepatocyte growth factor measurement	http://www.ebi.ac.uk/efo/EFO_0006903	GCST90012045	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012045/harmonised/33067605-GCST90012045-EFO_0006903.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012045/harmonised/33067605-GCST90012045-EFO_0006903.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	P-selectin glycoprotein ligand 1 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	8	P-selectin glycoprotein ligand 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010922	GCST90012046	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012046/harmonised/33067605-GCST90012046-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012046/harmonised/33067605-GCST90012046-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Myoglobin levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	2	myoglobin measurement	http://www.ebi.ac.uk/efo/EFO_0005057	GCST90012047	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012047/harmonised/33067605-GCST90012047-EFO_0005057.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012047/harmonised/33067605-GCST90012047-EFO_0005057.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Thrombomodulin levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	5	thrombomodulin measurement	http://www.ebi.ac.uk/efo/EFO_0007774	GCST90012048	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012048/harmonised/33067605-GCST90012048-EFO_0007774.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012048/harmonised/33067605-GCST90012048-EFO_0007774.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Pro-interleukin-16 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	10	pro‐interleukin‐16 measurement	http://www.ebi.ac.uk/efo/EFO_0010629	GCST90012049	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012049/harmonised/33067605-GCST90012049-EFO_0010629.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012049/harmonised/33067605-GCST90012049-EFO_0010629.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Matrix metalloproteinase-10 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	6	matrix metalloproteinase 10 measurement	http://www.ebi.ac.uk/efo/EFO_0010589	GCST90012050	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012050/harmonised/33067605-GCST90012050-EFO_0010589.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012050/harmonised/33067605-GCST90012050-EFO_0010589.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Urokinase plasminogen activator surface receptor levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	8	urokinase plasminogen activator surface receptor measurement	http://www.ebi.ac.uk/efo/EFO_0010932	GCST90012051	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012051/harmonised/33067605-GCST90012051-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012051/harmonised/33067605-GCST90012051-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	C-C motif chemokine 4 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	8	CCL4 measurement	http://www.ebi.ac.uk/efo/EFO_0004751	GCST90012052	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012052/harmonised/33067605-GCST90012052-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012052/harmonised/33067605-GCST90012052-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Cathepsin D levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	8	cathepsin D measurement	http://www.ebi.ac.uk/efo/EFO_0010611	GCST90012053	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012053/harmonised/33067605-GCST90012053-EFO_0010611.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012053/harmonised/33067605-GCST90012053-EFO_0010611.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Receptor for advanced glycosylation end products levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	14	advanced glycosylation end product-specific receptor ligand measurement	http://www.ebi.ac.uk/efo/EFO_0010762	GCST90012054	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012054/harmonised/33067605-GCST90012054-EFO_0010762.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012054/harmonised/33067605-GCST90012054-EFO_0010762.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	C-C motif chemokine 3 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	6	C-C motif chemokine 3 measurement	http://www.ebi.ac.uk/efo/EFO_0008051	GCST90012055	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012055/harmonised/33067605-GCST90012055-EFO_0008051.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012055/harmonised/33067605-GCST90012055-EFO_0008051.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Matrix metalloproteinase-7 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	6	matrix metalloproteinase 7 measurement	http://www.ebi.ac.uk/efo/EFO_0010591	GCST90012056	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012056/harmonised/33067605-GCST90012056-EFO_0010591.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012056/harmonised/33067605-GCST90012056-EFO_0010591.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	C-X-C motif chemokine 6 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	3	C-X-C motif chemokine 6 measurement	http://www.ebi.ac.uk/efo/EFO_0008059	GCST90012057	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012057/harmonised/33067605-GCST90012057-EFO_0008059.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012057/harmonised/33067605-GCST90012057-EFO_0008059.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Melusin levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	1	melusin measurement	http://www.ebi.ac.uk/efo/EFO_0010919	GCST90012058	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012058/harmonised/33067605-GCST90012058-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012058/harmonised/33067605-GCST90012058-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	C-X-C motif chemokine 16 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	14	C-X-C motif chemokine 16 measurement	http://www.ebi.ac.uk/efo/EFO_0010911	GCST90012059	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012059/harmonised/33067605-GCST90012059-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012059/harmonised/33067605-GCST90012059-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Dickkopf-related protein 1 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	9	dickkopf‐related protein 1 measurement	http://www.ebi.ac.uk/efo/EFO_0010620	GCST90012060	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012060/harmonised/33067605-GCST90012060-EFO_0010620.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012060/harmonised/33067605-GCST90012060-EFO_0010620.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	SIR2-like protein 2 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	3	SIR2-like protein 2 measurement	http://www.ebi.ac.uk/efo/EFO_0010928	GCST90012061	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012061/harmonised/33067605-GCST90012061-EFO_0004747.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012061/harmonised/33067605-GCST90012061-EFO_0004747.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Galanin peptide levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	4	galanin peptides measurement	http://www.ebi.ac.uk/efo/EFO_0010615	GCST90012062	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012062/harmonised/33067605-GCST90012062-EFO_0010615.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012062/harmonised/33067605-GCST90012062-EFO_0010615.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Agouti-related protein levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	5	Agouti-related protein measurement	http://www.ebi.ac.uk/efo/EFO_0008016	GCST90012063	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012063/harmonised/33067605-GCST90012063-EFO_0008016.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012063/harmonised/33067605-GCST90012063-EFO_0008016.h.tsv.gz	nfe=21758	TRUE	TRUE
2020-11-24	33067605	Folkersen L	2020-10-16	Nat Metab	www.ncbi.nlm.nih.gov/pubmed/33067605	Genomic and drug target evaluation of 90 cardiovascular proteins in 30,931 individuals.	Tumor necrosis factor receptor superfamily member 5 levels	21,758 European ancestry individuals	9,173 individuals	Affymetrix, Illumina [20300000] (imputed)	3	tumor necrosis factor, receptor superfamily, member 5 measurement	http://www.ebi.ac.uk/efo/EFO_0010607	GCST90012065	Genome-wide genotyping array	./GCST90012001-GCST90013000/GCST90012065/harmonised/33067605-GCST90012065-EFO_0010607.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90012001-GCST90013000/GCST90012065/harmonised/33067605-GCST90012065-EFO_0010607.h.tsv.gz	nfe=21758	TRUE	TRUE
